question,para_question1,para_question2,answer
What are some of the subjects Dr. Sathesh Rao has handled?,Which topics or subjects has Dr. Sathesh Rao worked on or taught?,What subjects did Dr. Sathesh Rao teach or specialize in?,"Dr. Sathesh Rao has handled subjects including Signals & Systems, Analog Communication, VLSI Circuits, Power Electronics, Design of Analog & Mixed mode Circuits, and VLSI Design Verification."
What are Dr. Narendra K C's educational qualifications?,What are Dr. Narendra K C's educational background and degrees?,What educational background does Dr. Narendra K C possess?,"Dr. Narendra K C holds a Ph.D. from VTU in 2019, an M.Tech in Signal Processing from Siddaganga Institute of Technology, Tumakuru in 2013, and a B.E. in Electronics and Communication Engineering from KS Institute of Technology in 2010."
What was Dr. Narendra K C's highest position at NMAM Institute of Technology?,What was Dr. Narendra K C's highest role or position at NMAM Institute of Technology?,What was the highest position Dr. Narendra K C held at NMAM Institute of Technology?,"He served as an Assistant Professor Gd-III in NMAM Institute of Technology, Nitte since 2019."
What are some of the subjects Dr. Narendra K C has handled?,Which topics or subjects has Dr. Narendra K C worked on or taught?,What subjects did Dr. Narendra K C teach or specialize in?,"Dr. Narendra K C has handled subjects including Detection and Estimation, Multirate Systems and Filter Banks, Advanced Speech Processing, Digital Signal Processing, DSP algorithms and Architecture, Computer Vision, Speech Processing, Advanced Digital Signal Processing, Microelectronic Circuits, Linear Integrated Circuits, Control Systems, Basic Electronics, Digital Communication, Principles of Communication Systems, and Machine Learning."
What are Dr. Shivakumar B R's educational qualifications?,What are Dr. Shivakumar B R's educational background and degrees?,What educational background does Dr. Shivakumar B R possess?,"Dr. Shivakumar B R holds a Ph.D. in the field of Digital Image Processing from Visvesvaraya Technological University, Belagavi in 2020, an M.Tech in Digital Electronics and Communication Engineering from Malnad College of Engineering, Hassan in 2011, and a B.E. in Electronics and Communication Engineering from PES College of Engineering, Mandya in 2007."
What was Dr. Shivakumar B R's highest position at NMAM Institute of Technology?,What was Dr. Shivakumar B R's highest role or position at NMAM Institute of Technology?,What was the highest position Dr. Shivakumar B R held at NMAM Institute of Technology?,"He served as an Assistant Professor Gd-III in NMAM Institute of Technology, Nitte since 01-11-2020."
What are some of the subjects Dr. Shivakumar B R has handled?,Which topics or subjects has Dr. Shivakumar B R worked on or taught?,What subjects did Dr. Shivakumar B R teach or specialize in?,"Dr. Shivakumar B R has handled subjects including Analog Communication, Digital Communication, Wireless Communication, Power Electronics, Microprocessor 8086, Information Theory and Coding, Real Time Operating Systems, CMOS VLSI Design, Advances in VLSI Design, and Real Time Operating Systems."
What are Dr. Anusha R Sharath's educational qualifications?,What are Dr. Anusha R Sharath's educational background and degrees?,What educational background does Dr. Anusha R Sharath possess?,"Dr. Anusha R Sharath holds a Ph.D. in the topic “Design and Implementation of Optimized Authenticated Encryption Algorithm for NFC enabled Devices” from Visvesvaraya Technological University (VTU) in March 2022, an M.Tech in VLSI & Embedded Systems from Srinivas Institute of Technology in 2014, and a B.E. in Electronics and Communication Engineering from NMAM Institute of Technology, Nitte in 2012."
What was Dr. Anusha R Sharath's highest position at NMAM Institute of Technology?,What was Dr. Anusha R Sharath's highest role or position at NMAM Institute of Technology?,What was the highest position Dr. Anusha R Sharath held at NMAM Institute of Technology?,"She served as an Assistant Professor Gd-III in NMAM Institute of Technology, Nitte, Karkala, since 10-03-2022."
What are some of the subjects Dr. Anusha R Sharath has handled?,Which topics or subjects has Dr. Anusha R Sharath worked on or taught?,What subjects did Dr. Anusha R Sharath teach or specialize in?,"Dr. Anusha R Sharath has handled subjects including Basic Electronics, Fundamentals of Cyber Security, DSD Laboratory, DEC Laboratory, VLSI Laboratory, Microprocessor & Microcontroller Application Lab, DSP Laboratory, Cryptography, Signals and Systems, System Design using Microprocessor and Microcontroller, Electromagnetic Theory, Digital System Design using Verilog, Big Data Analytics, Analog Communication, Embedded Systems, Digital Electronic circuits, Advanced Digital System Design, Design of Analog and mixed mode VLSI."
What are Dr. Bommegowda K B's educational qualifications?,What are Dr. Bommegowda K B's educational background and degrees?,What educational background does Dr. Bommegowda K B possess?,"Dr. Bommegowda K B holds a Ph.D. in the topic Development of Novel Nanodielectric Material for Use in Corrosive Environment of Modern Power Plants from Visvesvaraya Technological University (VTU) - 2022, an M.Tech in Industrial Electronics from SJCE, Mysore in 2015, and a B.E. in Electronics & Communication Engineering from SJMIT, Chitradurga in 2010."
What was Dr. Bommegowda K B's highest position at NMAM Institute of Technology?,What was Dr. Bommegowda K B's highest role or position at NMAM Institute of Technology?,What was the highest position Dr. Bommegowda K B held at NMAM Institute of Technology?,"He served as an Assistant Professor Grade-III in the Department of Electronics & Communication Engineering at NMAM Institute of Technology, Nitte since August 2022."
What are some of the subjects Dr. Bommegowda K B has handled?, Which topics or subjects has Dr. Bommegowda K B worked on or taught?,What subjects did Dr. Bommegowda K B teach or specialize in?,"Dr. Bommegowda K B has handled subjects including Electronic Devices, Analog Electronic Circuits, Analog Communication, Basic Electronics, Linear Integrated Circuits & Applications, Microwave Devices & Communication, Power Electronics, Automotive Electronics, and Telecommunication Switching & Networks."
What are Dr. Kavitha S's educational qualifications?, What are Dr. Kavitha S's educational background and degrees?,What educational background does Dr. Kavitha S possess?,"Dr. Kavitha S holds a Ph.D. on Optical Communication from VTU, an M.Tech in Digital Electronics and Communication from NMAMIT, Nitte in 2016, and a B.E. in Electronics and Communication Engineering from St. Joseph Engineering College Mangalore in 2008."
"What was Dr. Kavitha S's highest position at NMAMIT, Nitte?","What was Dr. Kavitha S's highest role or position at NMAMIT, Nitte?","What was the highest position Dr. Kavitha S held at NMAMIT, Nitte?","She served as an Assistant Professor Gd-I in NMAMIT, Nitte from July 2017."
What are some of the subjects Dr. Kavitha S has handled?,Which topics or subjects has Dr. Kavitha S worked on or taught?,What subjects did Dr. Kavitha S teach or specialize in?,"Dr. Kavitha S has handled subjects including Logic Design, Linear Integrated Circuits, Microcontrollers, Analog Communication, Transmission Lines and Waveguides, Digital Communication, Microprocessors, DSP Architecture and Algorithms, Basic Electronics, Optical Fiber Communication, Information Theory and Coding, Digital Signal Processing, Control Systems, Computer Communication Networks, Embedded Systems, and Error control coding."
What are Mr. Ravindra K S's educational qualifications?, What are Mr. Ravindra K S's educational background and degrees?,What educational background does Mr. Ravindra K S possess?,"Mr. Ravindra K S holds an M.Tech in Digital Electronics and Communication from NMAM Institute of Technology, Nitte in 2009, and a B.E. in Electronics and Communication Engineering from NMAM Institute of Technology, Nitte in 2004."
"What was Mr. Ravindra K S's highest position at NMAMIT, Nitte?"," What was Mr. Ravindra K S's highest role or position at NMAMIT, Nitte?","What was the highest position Mr. Ravindra K S held at NMAMIT, Nitte?","He served as an Assistant Professor Gd-II at NMAMIT, Nitte from 01-01-2012."
What are some of the subjects Mr. Ravindra K S has handled?, Which topics or subjects has Mr. Ravindra K S worked on or taught?,What subjects did Mr. Ravindra K S teach or specialize in?,"Mr. Ravindra K S has handled subjects including Basic Electronics, Analog Electronics, Analog Electronic Circuits, Network Analysis, Information Theory and Coding, Computer Operating Systems, Computer Communication Networks, Real Time Operating Systems."
What are Mr. Pradyumna G R's educational qualifications?, What are Mr. Pradyumna G R's educational background and degrees?,What educational background does Mr. Pradyumna G R possess?,"Mr. Pradyumna G R is pursuing a Ph.D. at NITK, Surathkal (IoT and Malware Analysis, Regd. Jul 2018), holds an M.Tech. in Digital Electronics & Communication from NMAMIT, Nitte, VTU, Belagavi in 2009, and a B.E. in Telecommunication Engineering from CIT, Ponnampet, VTU, Belagavi in 2005."
"What was Mr. Pradyumna G R's highest position at NMAMIT, Nitte?","What was Mr. Pradyumna G R's highest role or position at NMAMIT, Nitte?","What was the highest position Mr. Pradyumna G R held at NMAMIT, Nitte?","He served as an Assistant Professor Gd-II, Dept of E&CE, NMAMIT, Nitte from 2018."
What are some of the subjects Mr. Pradyumna G R has handled?,Which topics or subjects has Mr. Pradyumna G R worked on or taught?,What subjects did Mr. Pradyumna G R teach or specialize in?,"Mr. Pradyumna G R has handled subjects including Basic Electronics, Network Analysis, Electronic Measurements and Transducers, C++, VHDL, Verilog, OOP using JAVA, Consumer Electronics, DBMS, 8051 Microcontroller, Bigdata Analytics, 8086 Lab, Arduino, Audit Course, HDL Lab, Digital Electronics Lab, Cryptography, Information Theory and Coding, Python Programming, Cryptography & Network Security, Modelling of Digital System Design using VHDL."
What are some of Mr. Pradyumna G R's departmental responsibilities?,What are some of Mr. Pradyumna G R's roles and responsibilities within his department?,What were some of Mr. Pradyumna G R's duties within their department?,"Mr. Pradyumna G R has held various departmental responsibilities, including Dept. CDCS Coordinator, Class Advisor (Lateral Entry), Batch Website and social media, NIRF ISO Coordinator and ISO Internal Auditor, Department Presentation Coordinator, Semester End Lab Exam Time Table Coordinator, MSE Coordinator, Dept. Website Maintenance, DSD using Verilog Course Coordinator, Interaction with ESSCI, DUGC member, Sowparnika Seminar Hall In-charge, Module Coordinator, HDL Lab incharge, 8051 Lab incharge, Incharge for collecting NIRF and AICTE-CII Survey, Department Cultural Coordinator (1 year), Department Sports Coordinator (1 year), Member, Flying Squad, Valuation Centre duty, and Professional Memberships: Life member of ISTE."
What is Dr. CHARISHMA's highest educational qualification?,What is Dr. CHARISHMA's highest level of education or degree?,What was Dr. CHARISHMA's highest level of education?,"Dr. CHARISHMA holds a Ph.D. in the area of Thin Film Technology from VTU, Belagavi."
In which year did Dr. CHARISHMA complete her M.Tech?, In which year did Dr. CHARISHMA complete her M.Tech degree?,When did Dr. CHARISHMA complete her M.Tech?,"Dr. CHARISHMA completed her M.Tech in Microelectronics and Control Systems from NMAMIT, Nitte in 2012."
What departmental responsibilities does Dr. CHARISHMA hold?,What are Dr. CHARISHMA's roles and responsibilities within her department?,What are Dr. CHARISHMA's duties within their department?,Dr. CHARISHMA is responsible for Time Table Coordination and Mentoring Students in her department.
Which subjects has Dr. CHARISHMA handled?,Which topics or subjects has Dr. CHARISHMA worked on or taught?,What subjects did Dr. CHARISHMA teach or specialize in?,"Dr. CHARISHMA has taught subjects including Operations Research, Basic Electronics, Solid State Devices, Digital electronic circuits, Control Systems, Information theory and coding, Linear Integrated circuits, Network Analysis, Transmission Lines and Waveguides, Electronic Measurements and Transducers, Information theory and coding, and Low Power VLSI."
What are Ms. SHANKARI N.'s educational qualifications?,What are Ms. SHANKARI N.'s educational background and degrees?,What educational background does Ms. SHANKARI N. possess?,"Ms. SHANKARI N. holds an M.Tech in Digital Electronics and Communication from the Dept. of Electronics and Communication Engineering, NMAM Institute of Technology, Nitte in 2016 and a B.E. in Electronics and Communication Engineering from Sahyadri College of Engineering and Management, Mangalore in 2014."
What is Ms. SHANKARI N.'s past experience?,What kind of work experience does Ms. SHANKARI N. have?,What professional experience has Ms. SHANKARI N. accumulated?,"Ms. SHANKARI N. has worked as an Assistant Professor Gd-I in the Dept. of Electronics and Communication Engineering at NMAM Institute of Technology, Nitte, Karkala from August 2016."
What are Ms. SHANKARI N.'s departmental responsibilities?,What are Ms. SHANKARI N.'s roles and responsibilities within her department?,What are Ms. SHANKARI N.'s duties within their department?,Ms. SHANKARI N. serves as a Mentor for students and is a Member of the Department Event Management Committee.
What subjects has Ms. SHANKARI N. handled?, Which topics or subjects has Ms. SHANKARI N. worked on or taught?,What subjects did Ms. SHANKARI N. teach or specialize in?,"Ms. SHANKARI N. has handled subjects including Digital Communication, One-day workshop on 'Mathematica-A math tool for teaching and research', Network Analysis, Microwave Devices and Communication."
What are Ms. HARSHITHA BHAT's educational qualifications?,What are Ms. HARSHITHA BHAT's educational background and degrees?,What educational background does Ms. HARSHITHA BHAT possess?,"Ms. HARSHITHA BHAT holds an M.Tech in Digital Electronics & Communication from N.M.A.M.I.T, Nitte in 2016 and a B.E. in Electronics & Communication from SMVITM, Bantakal in 2014."
What is Ms. HARSHITHA BHAT's past experience?, What kind of work experience does Ms. HARSHITHA BHAT have?,What professional experience has Ms. HARSHITHA BHAT accumulated?,"Ms. HARSHITHA BHAT has worked as an Assistant Professor Gd-I in Dept. of E & C Engineering at N.M.A.M.I.T, Nitte from February 2017."
What are Ms. HARSHITHA BHAT's departmental responsibilities?, What are Ms. HARSHITHA BHAT's roles and responsibilities within her department?,What are Ms. HARSHITHA BHAT's duties within their department?,Ms. HARSHITHA BHAT serves as a Seminar Co-ordinator.
What subjects has Ms. HARSHITHA BHAT handled?, Which topics or subjects has Ms. HARSHITHA BHAT worked on or taught?,What subjects did Ms. HARSHITHA BHAT teach or specialize in?,"Ms. HARSHITHA BHAT has handled subjects including Basic Electronics, Applied Digital Logic Design, Automotive Electronics, Embedded Systems, Computer Operating Systems, and Digital Electronic circuits."
What are Ms. RAMYA SHETTY's educational qualifications?, What are Ms. RAMYA SHETTY's educational background and degrees?,What educational background does Ms. RAMYA SHETTY possess?,Ms. RAMYA SHETTY holds an M.Tech in Digital Electronics from S.I.T Valachil in 2012 and a B.E. in Electronics & Communication Engineering from PES College of Engineering in 2004.
What is Ms. RAMYA SHETTY's past experience?, What kind of work experience does Ms. RAMYA SHETTY have?,What professional experience has Ms. RAMYA SHETTY accumulated?,"Ms. RAMYA SHETTY has worked as an Assistant Professor Gd-I in E&C Department at NMAMIT, Nitte from 15 July 2014, as an Assistant Lecturer in E&C Department at NITK, Surathkal from Dec 2012 to May 2013, and as an Assistant Professor in E&C Department at SJCE, Mangalore from 2007 to 2009."
What are Ms. RAMYA SHETTY's departmental responsibilities?,What are Ms. RAMYA SHETTY's roles and responsibilities within her department?,What are Ms. RAMYA SHETTY's duties within their department?,Ms. RAMYA SHETTY serves as a Seminar coordinator and class advisor.
What subjects has Ms. RAMYA SHETTY handled?, Which topics or subjects has Ms. RAMYA SHETTY worked on or taught?,What subjects did Ms. RAMYA SHETTY teach or specialize in?,"Ms. RAMYA SHETTY has handled subjects including Microprocessor and Microcontroller, Analog Electronic circuits, Linear Integrated Circuits, Computer Communication Networks, Transmission Lines and Waveguides, Antennas and Wave Propagation, Basic Electronics."
What are Ms. ASHWINI K's educational qualifications?,What are Ms. ASHWINI K's educational background and degrees?,What educational background does Ms. ASHWINI K possess?,"Ms. ASHWINI K holds a Ph.D (Pursuing), an M.Tech in Microelectronics and Control Systems from NMAMIT, Nitte in 2014, and a B.E. in Electronics and Communication Engineering from St. Joseph Engineering College, Vamanjoor in 2009."
What is Ms. ASHWINI K's past experience?,What kind of work experience does Ms. ASHWINI K have?,What professional experience has Ms. ASHWINI K accumulated?,"Ms. ASHWINI K has worked as an Assistant Professor Gd-I in the Dept. of E&CE at NMAMIT, Nitte from July 2015, as a Lecturer in St. Joseph Engineering College, Vamanjoor from Jan 2010 to Dec 2010, and as a Product Design Engineer in Virtual Logic Systems Pvt. Ltd. from Dec 2010 to April 2012."
What are Ms. ASHWINI K's departmental responsibilities?,What are Ms. ASHWINI K's roles and responsibilities within her department?,What are Ms. ASHWINI K's duties within their department?,Ms. ASHWINI K serves as a Mentor for students.
What subjects has Ms. ASHWINI K handled?,Which topics or subjects has Ms. ASHWINI K worked on or taught?,What subjects did Ms. ASHWINI K teach or specialize in?,"Ms. ASHWINI K has handled subjects including Computer Networks, Digital System Design, Digital IC Design using Verilog HDL, Basic Electronics, Digital Electronic Circuits, Digital System Design using Verilog HDL, Embedded Systems, Computer Communication Networks, and Information Theory & Coding."
What are Ms. DEEPA K's educational qualifications?,What are Ms. DEEPA K's educational background and degrees?,What educational background does Ms. DEEPA K possess?,"Ms. DEEPA K holds an M.Tech in Communication Engineering from NITK, Surathkal in 2009 and a B.E. in Electronics and Communication Engineering from Narayana Engineering College, Nellore, Andhra Pradesh in 2005."
What is Ms. DEEPA K's past experience?,What kind of work experience does Ms. DEEPA K have?,What professional experience has Ms. DEEPA K accumulated?,"Ms. DEEPA K has worked as an Assistant Professor Gd-I in the Dept. of Electronics and Communication Engineering at NMAMIT, Nitte since 23rd July 2012. Prior to this, she served as an Assistant Lecturer at NITK, Surathkal from July 2011 to May 2012 and as a Lecturer at Srinivas Institute of Technology from July 2009 to July 2011."
What are Ms. DEEPA K's departmental responsibilities?,What are Ms. DEEPA K's roles and responsibilities within her department?,What are Ms. DEEPA K's duties within their department?,"Ms. DEEPA K is a Life Member of ISTE and has handled subjects like Microprocessor & Microcontroller, Basic Electronics, Digital Electronic Circuits, and Linear Integrated Circuits and Applications."
What are Ms. ANUPAMA B's educational qualifications?,What are Ms. ANUPAMA B's educational background and degrees?,What educational background does Ms. ANUPAMA B possess?,"Ms. ANUPAMA B holds a B.E. in Electronics & Communication from K.V.G College of Engineering, Sullia in 2010 and an M.Tech in Digital Electronics & Communication from NMAMIT, Nitte in 2014."
What is Ms. ANUPAMA B's past experience?,What kind of work experience does Ms. ANUPAMA B have?,What professional experience has Ms. ANUPAMA B accumulated?,"Ms. ANUPAMA B has worked as an Assistant Professor Gd-I at N.M.A.M.I.T, Nitte since July 2014. Prior to this, she served as a Lecturer at Srinivas Institute of Technology and as a Trainee developer at Diya Systems Mangalore."
What are Ms. ANUPAMA B's departmental responsibilities?,What are Ms. ANUPAMA B's roles and responsibilities within her department?,What are Ms. ANUPAMA B's duties within their department?,Ms. ANUPAMA B serves as a Cultural committee member.
What subjects has Ms. ANUPAMA B handled?,Which topics or subjects has Ms. ANUPAMA B worked on or taught?,What subjects did Ms. ANUPAMA B teach or specialize in?,"Ms. ANUPAMA B has handled subjects including Digital System Design, Fundamentals of Python Programming, Control Systems, Microwaves and Radars, Electromagnetic Wave theory, Basic Electronics, and Satellite Communication."
What are Mr. KARTHIK's educational qualifications?,What are Mr. KARTHIK's educational background and degrees?,What are Mr. KARTHIK's academic credentials?,"Mr. KARTHIK holds an M.Tech in Digital Electronics and Communication from NMAMIT, Nitte in 2014 and a B.E. in Electronics and Communication from AITM, Bhatkal in 2011."
What is Mr. KARTHIK's past experience?,What kind of work experience does Mr. KARTHIK have?,What has been Mr. KARTHIK's professional background?,"Mr. KARTHIK has been working as an Assistant Professor Gd-I in NMAMIT, Nitte since 01-07-2014. Prior to this, he worked as a lecturer in AITM, Bhatkal from 05-09-2011 to 15-11-2012."
What are Mr. KARTHIK's departmental responsibilities?, What are Mr. KARTHIK's roles and responsibilities within his department?,What are Mr. KARTHIK's departmental duties?,"Mr. KARTHIK has served as Seminar Co-ordinator (2017-18, 2018-19, 2019-20), Sowparnika Hall In-charge (2018 onwards), and Project Lab-1 In-charge (2018-19, 2019-20)."
What subjects has Mr. KARTHIK handled?,Which topics or subjects has Mr. KARTHIK worked on or taught?,What topics has Mr. KARTHIK covered?,"Mr. KARTHIK has handled subjects including OOP with C++, Real-Time Operating Systems, Basic Electronics, Field Theory, VHDL and Verilog, Operating System, OOP in JAVA, Digital Systems Design, Data Structures, and Applied Digital Logic Design."
What are Ms. LAVANYA's educational qualifications?,What are Ms. LAVANYA's educational background and degrees?,What are Ms. LAVANYA's academic credentials?,"Ms. LAVANYA holds an M.Tech in VLSI Design and Embedded Systems from NMAMIT, Nitte in 2015 and a B.E. in Electronics and Communication Engineering from NMAMIT, Nitte in 2013."
What is Ms. LAVANYA's past experience?,What kind of work experience does Ms. LAVANYA have?,What has been Ms. LAVANYA's professional background?,"Ms. LAVANYA has worked as an Assistant Professor Gd-I in the Department of ECE at NMAMIT, Nitte since 15-07-2017. Prior to this, she worked as an Assistant Professor in the Department of ECE at St. Joseph Engineering College, Mangaluru and as a Visiting Faculty for Hindustan Institute of safety and Multi learning, Valencia, Mangalore. She also underwent an internship for her M.Tech project in LEOS, ISRO Bangalore."
What are Ms. LAVANYA's departmental responsibilities?,What are Ms. LAVANYA's roles and responsibilities within her department?,What are Ms. LAVANYA's duties within her department?,Ms. LAVANYA serves as a Course Coordinator for M.Tech subjects SOC and DBMS. She also mentors BE students and is a member of the faculty cell to look after the welfare of underprivileged reserved category students.
What subjects has Ms. LAVANYA handled?,Which topics or subjects has Ms. LAVANYA worked on or taught?,What topics has Ms. LAVANYA covered?,"Ms. LAVANYA has handled subjects including Basic Electronics, Linear Integrated Circuits, Data Base Management System, and System on Chip Design."
What are Mr. DILEEP KUMAR M J's educational qualifications?,What are Mr. DILEEP KUMAR M J's educational background and degrees?,What are Mr. DILEEP KUMAR M J's academic credentials?,"Mr. DILEEP KUMAR M J holds an M.Tech in Digital Electronics and Communication from NMAM Institute of Technology, Nitte in 2012 and a B.E. in Electronics and Communication Engineering from Channabaseveshwara Institute of Technology, Gubbi in 2009."
What is Mr. DILEEP KUMAR M J's past experience?,What kind of work experience does Mr. DILEEP KUMAR M J have?,What has been Mr. DILEEP KUMAR M J's professional background?,"Mr. DILEEP KUMAR M J has worked as an Assistant Professor Gd-II in the Dept. of Electronics & Communication Engg. at NMAM Institute of Technology, Nitte since January 2018. Prior to this, he worked as an Assistant Professor Gd-I and as a Lecturer in the same department at NMAM Institute of Technology, Nitte."
What are Mr. DILEEP KUMAR M J's departmental responsibilities?, What are Mr. DILEEP KUMAR M J's roles and responsibilities within his department?,What are Mr. DILEEP KUMAR M J's duties within his department?,"Mr. DILEEP KUMAR M J's departmental responsibilities include Placement Co-ordinator, Co-ordinator for Departmental Interaction with Fiabilite Network Solution Private Limited, Department representative for IoT Club at NMAMIT, Nitte, Mentor for students, and Member of Industry Institute Collaboration Team."
What subjects has Mr. DILEEP KUMAR M J handled?,Which topics or subjects has Mr. DILEEP KUMAR M J worked on or taught?,What topics has Mr. DILEEP KUMAR M J covered?,"Mr. DILEEP KUMAR M J has handled subjects including Basic Electronics, Network Analysis, Electromagnetic Theory, System Design using Microprocessor and Microcontroller, Control Systems, Antennas & Wave Propagation, Data Base Management System, Cryptography, and Wireless Communication."
What are Ms. NAGAPRIYA KAMATH's educational qualifications?, What are Ms. NAGAPRIYA KAMATH's educational background and degrees?,What are Ms. NAGAPRIYA KAMATH's academic credentials?,"Ms. NAGAPRIYA KAMATH holds an M.Tech in Electronics from Canara Engineering College, Mangalore in 2012 and a B.Tech in Electronics and Communication Engineering from LBS College Of Engineering, Kasaragod in 2008."
What is Ms. NAGAPRIYA KAMATH's past experience?, What kind of work experience does Ms. NAGAPRIYA KAMATH have?,What has been Ms. NAGAPRIYA KAMATH's professional background?,"Ms. NAGAPRIYA KAMATH has worked as an Assistant Professor Gd-II in NMAMIT, Nitte since December 2017. Prior to this, she worked as an Assistant Professor Gd-I in NMAMIT, Nitte, Assistant Professor in Canara Engineering College, and Lecturer in E&C in LBSCE, Kasaragod."
What are Ms. NAGAPRIYA KAMATH's departmental responsibilities?,What are Ms. NAGAPRIYA KAMATH's roles and responsibilities within her department?,What are Ms. NAGAPRIYA KAMATH's duties within her department?,"Ms. NAGAPRIYA KAMATH serves as a Mentor for some of the students and as the Department Co-ordinator Of IEI Students' Chapter of NMAMIT, Nitte."
What subjects has Ms. NAGAPRIYA KAMATH handled?,Which topics or subjects has Ms. NAGAPRIYA KAMATH worked on or taught?,What topics has Ms. NAGAPRIYA KAMATH covered?,"Ms. NAGAPRIYA KAMATH has handled subjects including Basic Electronics, Digital Electronic Circuits, Control systems, Biomedical Instrumentation, Biomedical signal processing, Cryptography, Information Theory and Coding, and Digital Signal Processing."
What are Mr. ANIL KUMAR BHAT's educational qualifications?,What are Mr. ANIL KUMAR BHAT's educational background and degrees?,What are Mr. ANIL KUMAR BHAT's academic credentials?,"Mr. ANIL KUMAR BHAT holds a Ph.D (Pursuing), an M.Tech in Digital Electronics and Communication Systems from St. Joseph Engineering College, Vamanjoor in 2014, and a B.E. in Electronics and Communication Engineering from NMAM Institute of Technology, Nitte in 2004."
What is Mr. ANIL KUMAR BHAT's past experience?, What kind of work experience does Mr. ANIL KUMAR BHAT have?,What professional experience has Mr. ANIL KUMAR BHAT accumulated?,"Mr. ANIL KUMAR BHAT has worked as an Assistant Professor Gd-II at NMAMIT, Nitte since September 12, 2014. Prior to this, he worked as a Lecturer at NMAM Institute of Technology, Nitte, and held engineering positions at Tejas Networks, Bangalore, and Flextronics Designs Limited, Bangalore."
What subjects has Mr. ANIL KUMAR BHAT handled?,. Which topics or subjects has Mr. ANIL KUMAR BHAT worked on or taught?,What subjects did Mr. ANIL KUMAR BHAT teach or specialize in?,"Mr. ANIL KUMAR BHAT has handled subjects including Power Electronics, Basic Electronics, Digital Electronic Circuits, Analog Electronic Circuits, Linear Integrated Circuits & Applications, VLSI Circuits, Control Systems, Automotive Electronics, Analog& Mixed Mode VLSI Design, and Advanced Digital System Design."
What are Mr. SUDARSHANA's educational qualifications?,What are Mr. SUDARSHANA's educational background and degrees?,What educational background does Mr. SUDARSHANA possess?,"Mr. SUDARSHANA holds an M.Tech in Power Electronics Systems and Control from Manipal Institute of Technology, Manipal in 2012 and a B.E. in Electronics and Communication Engineering from Vivekananda College of Engineering and Technology, Puttur in 2009."
What is Mr. SUDARSHANA's past experience?,What kind of work experience does Mr. SUDARSHANA have?,What professional experience has Mr. SUDARSHANA accumulated?,"Mr. SUDARSHANA has worked as an Assistant Professor-II at NMAM Institute of Technology, Nitte since December 1, 2017. Prior to this, he worked as an Assistant Professor-I at NMAM Institute of Technology, Nitte, a Hardware Engineer at STG, Pune, and a Lecturer at KPT, Mangalore."
What are Mr. SUDARSHANA's departmental responsibilities?,What are Mr. SUDARSHANA's roles and responsibilities within his department?,What are Mr. SUDARSHANA's duties within their department?,Mr. SUDARSHANA serves as the Department EDC Coordinator and as a Mentor for some students of the department.
What subjects has Mr. SUDARSHANA handled?,Which topics or subjects has Mr. SUDARSHANA worked on or taught?,What subjects did Mr. SUDARSHANA teach or specialize in?,"Mr. SUDARSHANA has handled subjects including Analog Communication, Embedded Systems, Basic Electronics, Network Analysis, Information Theory and Coding, Signals and Systems, Electronic Circuits, and Error Control Coding."
What are Ms. NIJU RAJAN's educational qualifications?, What are Ms. NIJU RAJAN's educational background and degrees?,What educational background does Ms. NIJU RAJAN possess?,"Ms. NIJU RAJAN is currently pursuing a Ph.D. in the area of MEMS under VTU since 2019. She completed her M.Tech in Microelectronics and Control Systems from NMAMI, Nitte in 2013 and her B.Tech in Electronics and Communication Engineering from the University of Kerala in 2006."
What is Ms. NIJU RAJAN's past experience?, What kind of work experience does Ms. NIJU RAJAN have?,What professional experience has Ms. NIJU RAJAN accumulated?,"Ms. NIJU RAJAN has served as an Assistant Professor Gd-II at NMAMIT, Nitte since December 1, 2013. Prior to this, she worked as an Assistant Professor Gd-I at NMAMIT, Nitte, a Lecturer at NMAMIT, and a Lecturer on a contract basis at TKM College of Engineering, Kollam."
What are Ms. NIJU RAJAN's departmental responsibilities?, What are Ms. NIJU RAJAN's roles and responsibilities within her department?,What are Ms. NIJU RAJAN's duties within her department?,"Ms. NIJU RAJAN has served as the ISTE Student Chapter Department Coordinator, UG Project Co-ordinator, UG Course Coordinator for Fuzzy Logic and Low Power VLSI, and PG Course Coordinator for VLSI Design Verification and Low Power VLSI Design."
What subjects has Ms. NIJU RAJAN handled?, Which topics or subjects has Ms. NIJU RAJAN worked on or taught?,What topics has Ms. NIJU RAJAN covered?,"Ms. NIJU RAJAN has handled subjects including Electronic Devices, VLSI Design, Fuzzy Logic, Low Power VLSI, Basic Electronics, Analog Electronic Circuits, MEMS, VLSI Design Verification, and more."
What are Ms. SHUBHA B.'s educational qualifications?, What are Ms. SHUBHA B.'s educational background and degrees?,What are Ms. SHUBHA B.'s academic credentials?,"Ms. SHUBHA B. is currently pursuing a Ph.D. at NMAMIT Research Centre, Nitte. She completed her M.Tech in Digital Electronics and Communication Systems from PESIT, Bangalore, in 2010 and her B.E. in Electronics and Communication Engineering from SJCE, Mysore in 2004."
What is Ms. SHUBHA B.'s past experience?,What kind of work experience does Ms. SHUBHA B. have?,What has been Ms. SHUBHA B.'s professional background?,"Ms. SHUBHA B. has served as an Assistant Professor Gd-II at NMAMIT, Nitte since December 2013. Prior to this, she worked as an Assistant Professor Gd-I at NMAMIT, Nitte, and held engineering positions at Robert Bosch, Bangalore, and Hexmoto Controls Pvt. Ltd., Mysore."
